"PLU","CATEGORY","COMMODITY","VARIETY","ADDITIONAL VARIETY INFO","SIZE","NA SIZE","ROW SIZE","RESTRICTIONS","NOTES","AKA","TRADEMARK","BOTANICAL NAME","REVISION DATE","DATE ADDED","GPC","IMAGE"
"4430","","PINEAPPLE","","","Large","10 size and larger","","","Sizes for pineapple based on two-layer lug.","","","Ananas comosus","1999-12-31 00:00:00","1999-12-31 00:00:00","10005935",""
"4431","","PINEAPPLE","Jet Fresh","","Small","12 size and smaller","","","Sizes for pineapple based on two-layer lug.","","","Ananas comosus","1999-12-31 00:00:00","1999-12-31 00:00:00","10005935",""
"4432","","PINEAPPLE","Jet Fresh","","Large","10 size and larger","","","Sizes for pineapple based on two-layer lug.","","","Ananas comosus","1999-12-31 00:00:00","1999-12-31 00:00:00","10005935",""
"4433","","PINEAPPLE","Retailer Assigned","","","","","","Sizes for pineapple based on two-layer lug.","","","Ananas comosus","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4434","","PLUMS","Green","Includes Dolly, Kelsey, Wickson","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4435","","PLUMS","Green","Includes Dolly, Kelsey, Wickson","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4436","","PLUMS","Italian Prune/Sugar","","","","","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4437","","PLUMS","Purple","Includes Queen Rosa, Laroda, Nublana, Queen Ann, Simka, El Dorado","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4438","","PLUMS","Purple","Includes Queen Rosa, Laroda, Nublana, Queen Ann, Simka, El Dorado","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4439","","PLUMS","Tree Ripened","","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4440","","PLUMS","Tree Ripened","","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4441","","PLUMS","Yellow","Includes Golden Globe","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4442","","PLUMS","Yellow","Includes Golden Globe","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005917",""
"4443","","PLUMS","Retailer Assigned","","","","","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4444","","PLUMS","Retailer Assigned","","","","","","","","","Prunus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4445","","POMEGRANATE","","","Small","42 size and smaller","Average Fruit Dimensions = less than 3 inch","","","","","Punica granatum","2007-10-30 00:00:00","2007-10-30 00:00:00","10005970",""
"4446","","POMEGRANATE","Retailer Assigned","","","","","","","","","Punica granatum","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4447","","QUINCE","","","","","","","","","","Cydonia oblonga","1999-12-31 00:00:00","1999-12-31 00:00:00","10006173",""
"4448","","TAMARINDO","","","","","","","","","","Tamarindus indica","1999-12-31 00:00:00","1999-12-31 00:00:00","10006359",""
"4449","","TANGERINES/MANDARINS","Sunburst","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"4450","","TANGERINES/MANDARINS","Clementine (includes Fortune)","","","","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005886",""
"4451","","TANGERINES/MANDARINS","Dancy","","","","","","","","","Citrus reticulata","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4452","","TANGERINES/MANDARINS","Fairchild","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4453","","TANGERINES/MANDARINS","Honey/Murcott","","","","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"4454","","TANGERINES/MANDARINS","Kinnow","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"4455","","TANGERINES/MANDARINS","Mandarin/Royal","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"4456","","TANGELO","","","","","","","","","","Citro paradisi X","1999-12-31 00:00:00","1999-12-31 00:00:00","10005880",""
"4457","","TANGERINES/MANDARINS","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4458","","TANGERINES/MANDARINS","Retailer Assigned","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4459","","TANGELO","Jamaican","","","","","","","Ugli®","","Citro paradisi X","1999-12-31 00:00:00","1999-12-31 00:00:00","10005880",""
